Date,Volume,RSI,MACD,MACD_Signal,BB_High,BB_Low,GDP,CPI,UNEMP,FEDFUNDS
2000-01-03,12019200,100.0,0.9514824356355405,0.6695972582695272,25.499064811427914,21.443788162510074,10002.179,169.3,4.0,5.45
2000-01-04,11723400,0.0,0.9514824356355405,0.6695972582695272,25.499064811427914,21.443788162510074,10002.179,169.3,4.0,5.45
2000-01-05,8714550,0.0,0.9514824356355405,0.6695972582695272,25.499064811427914,21.443788162510074,10002.179,169.3,4.0,5.45
2000-01-06,8369250,36.00698549846208,0.9514824356355405,0.6695972582695272,25.499064811427914,21.443788162510074,10002.179,169.3,4.0,5.45
2000-01-07,6571950,57.5912573965585,0.9514824356355405,0.6695972582695272,25.499064811427914,21.443788162510074,10002.179,169.3,4.0,5.45
2000-01-10,4723500,42.78892354024298,0.9514824356355405,0.6695972582695272,25.499064811427914,21.443788162510074,10002.179,169.3,4.0,5.45
2000-01-11,8405550,31.14942488661744,0.9514824356355405,0.6695972582695272,25.499064811427914,21.443788162510074,10002.179,169.3,4.0,5.45
2000-01-12,7271850,36.00939370878239,0.9514824356355405,0.6695972582695272,25.499064811427914,21.443788162510074,10002.179,169.3,4.0,5.45
2000-01-13,6918900,45.982020823989345,0.9514824356355405,0.6695972582695272,25.499064811427914,21.443788162510074,10002.179,169.3,4.0,5.45
2000-01-14,9731850,61.54687284261987,0.9514824356355405,0.6695972582695272,25.499064811427914,21.443788162510074,10002.179,169.3,4.0,5.45
2000-01-18,5296650,45.65287212633644,0.9514824356355405,0.6695972582695272,25.499064811427914,21.443788162510074,10002.179,169.3,4.0,5.45
2000-01-19,15734700,58.26800020432032,0.9514824356355405,0.6695972582695272,25.499064811427914,21.443788162510074,10002.179,169.3,4.0,5.45
2000-01-20,7770300,57.97816949111198,0.9514824356355405,0.6695972582695272,25.499064811427914,21.443788162510074,10002.179,169.3,4.0,5.45
2000-01-21,5160600,52.878960141332605,0.9514824356355405,0.6695972582695272,25.499064811427914,21.443788162510074,10002.179,169.3,4.0,5.45
2000-01-24,6459150,53.125515217826404,0.9514824356355405,0.6695972582695272,25.499064811427914,21.443788162510074,10002.179,169.3,4.0,5.45
2000-01-25,7579950,59.117533627621896,0.9514824356355405,0.6695972582695272,25.499064811427914,21.443788162510074,10002.179,169.3,4.0,5.45
2000-01-26,8386650,69.09815539861275,0.9514824356355405,0.6695972582695272,25.499064811427914,21.443788162510074,10002.179,169.3,4.0,5.45
2000-01-27,8165850,73.24888354957528,0.9514824356355405,0.6695972582695272,25.499064811427914,21.443788162510074,10002.179,169.3,4.0,5.45
2000-01-28,7500000,58.265481681740866,0.9514824356355405,0.6695972582695272,25.499064811427914,21.443788162510074,10002.179,169.3,4.0,5.45
2000-01-31,7160250,65.79949836680584,0.9514824356355405,0.6695972582695272,25.499064811427914,21.443788162510074,10002.179,169.3,4.0,5.45
2000-02-01,9651000,70.23052554648307,0.9514824356355405,0.6695972582695272,26.116776142468787,21.186214770922327,10002.179,170.0,4.1,5.73
2000-02-02,7126200,66.09037545204978,0.9514824356355405,0.6695972582695272,26.50332502527971,21.166665705005936,10002.179,170.0,4.1,5.73
2000-02-03,9200250,67.31653423645272,0.9514824356355405,0.6695972582695272,26.877133181143307,21.199749181222415,10002.179,170.0,4.1,5.73
2000-02-04,5115150,62.977771678853024,0.9514824356355405,0.6695972582695272,27.1155312379696,21.290454975714482,10002.179,170.0,4.1,5.73
2000-02-07,4684200,63.74363459791933,0.9514824356355405,0.6695972582695272,27.356600823939537,21.350564131199626,10002.179,170.0,4.1,5.73
2000-02-08,6318600,68.37398813535924,0.9514824356355405,0.6695972582695272,27.71936530374179,21.42062149740567,10002.179,170.0,4.1,5.73
2000-02-09,9818550,61.896664264902086,0.9414758515522124,0.6695972582695272,27.844455747157568,21.712393732517725,10002.179,170.0,4.1,5.73
2000-02-10,6880500,62.33583026842807,0.929271737008321,0.6695972582695272,27.938552139205097,22.029177238541482,10002.179,170.0,4.1,5.73
2000-02-11,7052550,60.825806295633576,0.8963899184518382,0.6695972582695272,27.991402389463307,22.337341163698316,10002.179,170.0,4.1,5.73
2000-02-14,5904750,51.29295495349202,0.7697204275817668,0.6695972582695272,27.978595281365077,22.51569640564664,10002.179,170.0,4.1,5.73
2000-02-15,8965500,55.50872862213844,0.7126219813514467,0.6695972582695272,27.87643791937037,22.938978225954333,10002.179,170.0,4.1,5.73
2000-02-16,4829700,51.74085639608039,0.6199875199449352,0.6695972582695272,27.82830125294618,23.15864695109435,10002.179,170.0,4.1,5.73
2000-02-17,5716200,49.153901627499415,0.51170640011496,0.6695972582695272,27.75055013075998,23.374023576820587,10002.179,170.0,4.1,5.73
2000-02-18,8121300,41.88633759490543,0.3287540445502479,0.6695972582695272,27.67044228622966,23.511972531580394,10002.179,170.0,4.1,5.73
2000-02-22,7068600,47.63645528201986,0.2453138808619535,0.5847405827880124,27.510449741246827,23.80759606563794,10002.179,170.0,4.1,5.73
2000-02-23,4452900,47.913978471662105,0.1803273691080527,0.5038579400520206,27.41369321993824,23.992114084444083,10002.179,170.0,4.1,5.73
2000-02-24,5199900,45.08359435798126,0.09235187971039238,0.4215567279836949,27.466953483683913,23.861066230671558,10002.179,170.0,4.1,5.73
2000-02-25,4644300,44.8244728806551,0.019191857038908466,0.34108375379473765,27.49668819725255,23.67775180518886,10002.179,170.0,4.1,5.73
2000-02-28,6051000,49.939213599332476,0.014159968223136588,0.2756989966804175,27.477607500012297,23.736724508349518,10002.179,170.0,4.1,5.73
2000-02-29,6166950,53.71935323785686,0.05301531543739202,0.2311622604318124,27.461322753345137,23.71910174616658,10002.179,170.0,4.1,5.73
2000-03-01,4866300,58.47231811146552,0.1433160015170678,0.2135930086488635,27.380624418929493,23.74395310334834,10002.179,171.0,4.0,5.85
2000-03-02,3583800,54.80365214664727,0.17583498740232884,0.20604140439955657,27.322762182234467,23.743972322465243,10002.179,171.0,4.0,5.85
2000-03-03,5981400,55.96783509970336,0.21362905531902143,0.20755893458344954,27.237468888137194,23.763443396713882,10002.179,171.0,4.0,5.85
2000-03-06,5691450,60.47528852357261,0.29967668093599187,0.22598248385395803,27.315975121885494,23.738789816469,10002.179,171.0,4.0,5.85
2000-03-07,4566900,56.12725670200295,0.3223085640006289,0.24524769988329223,27.301349046561324,23.74144823279659,10002.179,171.0,4.0,5.85
2000-03-08,5247750,49.49459564464431,0.26476789185674576,0.24915173827798295,27.043974129546978,23.8053491431581,10002.179,171.0,4.0,5.85
2000-03-09,3979500,53.92486764413631,0.2707658643119437,0.2534745634847751,26.96289776811577,23.830577573681108,10002.179,171.0,4.0,5.85
2000-03-10,5311350,48.652885553006385,0.21032670123619113,0.24484499103505833,26.80690208996399,23.84495891009704,10002.179,171.0,4.0,5.85
2000-03-13,4723350,51.53151693246338,0.1955812484690007,0.23499224252184683,26.691970229656917,23.878114723651187,10002.179,171.0,4.0,5.85
2000-03-14,4129650,49.23459518385135,0.1547514286239995,0.21894407974227736,26.691152747346848,23.876938263700517,10002.179,171.0,4.0,5.85
2000-03-15,8861700,57.20923807725503,0.22601162533457853,0.2203575888607376,26.80571138065329,23.828200324363802,10002.179,171.0,4.0,5.85
2000-03-16,15634950,66.75356737967658,0.45746963948034747,0.2677799989846596,27.601653476072883,23.371333889649776,10002.179,171.0,4.0,5.85
2000-03-17,11889150,67.72271526368192,0.6558735872276777,0.3453987166332632,28.29430599542937,23.081581875359205,10002.179,171.0,4.0,5.85
2000-03-20,8076150,58.421599914843966,0.6908747706415959,0.41449392743492974,28.470499287423657,23.28236040038152,10002.179,171.0,4.0,5.85
2000-03-21,8345550,64.80095838450383,0.8488511070891107,0.501365363365766,29.050343874640532,23.17323209887021,10002.179,171.0,4.0,5.85
2000-03-22,8604150,63.950789419440795,0.9518107644756029,0.5914544435877334,29.494104792206755,23.18223645535184,10002.179,171.0,4.0,5.85
2000-03-23,10431450,70.54920224491651,1.1982422574789773,0.7128120063659822,30.407920543951157,22.986463077264666,10002.179,171.0,4.0,5.85
2000-03-24,9489000,66.19945696910335,1.3187892307768543,0.8340074512481567,30.934691600914586,23.1079229544443,10002.179,171.0,4.0,5.85
2000-03-27,4828950,63.46607819414236,1.3600200476294297,0.9392099705244114,31.307077941329894,23.270078888504088,10002.179,171.0,4.0,5.85
2000-03-28,7325700,62.653424180207786,1.3656859132869705,1.0245051590769232,31.618446616249283,23.425437088889876,10002.179,171.0,4.0,5.85
